"id","english_text","chinese_text","category"
"d4e5f6a7-8b9c-0d1e-2f3a-4b5c6d7e8f0a","What we think, we become.","我们思考什么，就会成为什么。","Wisdom"
"e5f6a7b8-9c0d-1e2f-3a4b-5c6d7e8f9a1b","The best way to predict the future is to create it.","预测未来的最好方法就是创造未来。","Motivation"
"f6a7b8c9-0d1e-2f3a-4b5c-6d7e8f9a0b2c","Let us always meet each other with smile, for the smile is the beginning of love.","让我们始终以微笑相见，因为微笑是爱的开始。","Love"
"a7b8c9d0-1e2f-3a4b-5c6d-7e8f9a0b1c3d","Success is not how high you have climbed, but how you make a positive difference to the world.","成功不是你攀登了多高，而是你对世界产生了多大的积极影响。","Success"
"b8c9d0e1-2f3a-4b5c-6d7e-8f9a0b1c2d4e","The only thing necessary for the triumph of evil is for good men to do nothing.","恶得以胜利，唯一需要的是好人什么都不做。","Wisdom"
"c9d0e1f2-3a4b-5c6d-7e8f-9a0b1c2d3e5f","Life is short, and it is up to you to make it sweet.","生命很短，由你让它变得甜美。","Life"
"d0e1f2a3-4b5c-6d7e-8f9a-0b1c2d3e4f6a","The most wasted of all days is one without laughter.","一天中最浪费的，就是没有笑声的一天。","Happiness"
"e1f2a3b4-5c6d-7e8f-9a0b-1c2d3e4f5a7c","A friend is someone who knows all about you and still loves you.","朋友是了解你一切却依然爱你的人。","Friends & Family"
"f2a3b4c5-6d7e-8f9a-0b1c-2d3e4f5a6b8d","It is not how much we have, but how much we enjoy that makes happiness.","让我们感到幸福的不是拥有多少，而是享受多少。","Happiness"
"a3b4c5d6-7e8f-9a0b-1c2d-3e4f5a6b7c9e","The purpose of our lives is to be happy.","我们人生的目标就是幸福。","Happiness"
"b4c5d6e7-8f9a-0b1c-2d3e-4f5a6b7c8d0f","The best and most beautiful things in the world cannot be seen or even touched - they must be felt with the heart.","世界上最美好和最美丽的东西是看不见也摸不着的——它们必须用心去感受。","Love"
"c5d6e7f8-9a0b-1c2d-3e4f-5a6b7c8d9e1f","Wherever you go, go with all your heart.","无论你去哪里，都要全心投入。","Life"
"d6e7f8a9-0b1c-2d3e-4f5a-6b7c8d9e0f2b","The only thing we have to fear is fear itself.","我们唯一要害怕的就是害怕本身。","Inspiration"
"e7f8a9b0-1c2d-3e4f-5a6b-7c8d9e0f1a3c","The best mirror is an old friend.","最好的镜子是老朋友。","Friends & Family"
"f8a9b0c1-2d3e-4f5a-6b7c-8d9e0f1a2b4d","Happiness is when what you think, what you say, and what you do are in harmony.","幸福就是你的想法、言语和行为一致。","Happiness"
"a9b0c1d2-3e4f-5a6b-7c8d-9e0f1a2b3c5e","The greatest wealth is to live content with little.","最大的财富是知足常乐。","Wisdom"
"b0c1d2e3-4f5a-6b7c-8d9e-0f1a2b3c4d6f","The best way to cheer yourself up is to try to cheer somebody else up.","让自己振作起来的最好方法是去让别人振作起来。","Compassion"
"c1d2e3f4-5a6b-7c8d-6e0f-1a2b3c4d5e7a","A real friend is one who walks in when the rest of the world walks out.","真正的朋友是在全世界都离开你时还会走进你身边的人。","Friends & Family"
"d2e3f4a5-6b7c-4d9e-9f1a-2b3c4d5e7f8b","The roots of education are bitter, but the fruit is sweet.","教育的根是苦的，但其果实是甜的。","Wisdom"
"e3f4a5b6-7c8d-4e0f-9a2b-3c4d5e7a8b9c","Let your life lightly dance on the edges of time like dew on the tip of a leaf.","让你的生命像叶尖上的露珠一样，在时间的边缘轻轻舞动。","Life"
"f4a5b6c7-8d9e-4f1a-9b3c-4d5e7a8b9c0d","Forgiveness is the fragrance that the violet sheds on the heel that has crushed it.","宽恕是紫罗兰留在踩踏它的脚后跟上的香气。","Compassion"
